FIPS,State,County, Food Insecure %,Limited Healthy Food Access %,Diabetes %,Obesity %,Smoking %,Uninsured %,Free/Reduced Lunch %,Median Household Income,Food Insecure Score,Access Gap Score,Diabetes Score,Obesity Score,Smoking Score,Uninsured Score,Lunch Need Score,Income Need Score,Food Need Score,Health Risk Score,Final Priority Score
27111,Minnesota,Otter Tail,9.8,5.97,10.1,38.2,19.7,7.23,45.17,"69,107",39.18,20.5,48.39,59.67,61.99,38.55,43.63,80.16,44.4,56.68,49.31
27113,Minnesota,Pennington,10.6,5.04,8.8,30.5,14.8,3.92,39.15,"73,104",47.42,16.84,27.42,17.13,33.33,1.73,33.21,74.85,34.81,25.96,31.27
27115,Minnesota,Pine,11.7,4.31,9.6,38.9,17.1,7.93,52.11,"69,619",58.76,13.97,40.32,63.54,46.78,46.29,55.63,79.48,50.83,50.21,50.58
27117,Minnesota,Pipestone,10.6,9.22,9.5,39.5,17,8.87,50.09,"69,117",47.42,33.22,38.71,66.85,46.2,56.72,52.14,80.15,53.93,50.59,52.59
27119,Minnesota,Polk,11.1,8.56,9.3,38.8,15,6.3,48.48,"68,136",52.58,30.66,35.48,62.98,34.5,28.13,49.35,81.45,48.43,44.32,46.79
27121,Minnesota,Pope,9.8,3.03,8.8,38.1,17.4,5.09,36.88,"64,480",39.18,8.96,27.42,59.12,48.54,14.71,29.28,86.31,35.69,45.02,39.42
27123,Minnesota,Ramsey,10.5,5.21,9.8,32.6,15.8,7.79,60.32,"77,764",46.39,17.53,43.55,28.73,39.18,44.72,69.83,68.66,49.42,37.15,44.52
27125,Minnesota,Red Lake,10.1,26.26,9.6,36.8,16.4,6.25,43.11,"70,019",42.27,100,40.32,51.93,42.69,27.64,40.06,78.95,57.78,44.98,52.66
27127,Minnesota,Redwood,9.6,11.66,9.2,39,16.4,7.75,49.56,"71,012",37.11,42.81,33.87,64.09,42.69,44.32,51.23,77.63,50.62,46.88,49.13
27129,Minnesota,Renville,10.3,9.3,9.8,38.4,18.3,9.63,54.37,"70,098",44.33,33.54,43.55,60.77,53.8,65.25,59.54,78.85,56.3,52.71,54.86
27131,Minnesota,Rice,8.6,6.33,9,35,14.7,6.93,49.8,"81,824",26.8,21.91,30.65,41.99,32.75,35.22,51.63,63.26,39.77,35.13,37.91
27133,Minnesota,Rock,8.8,4.22,9.1,37.8,17.1,5.31,34.85,"71,923",28.87,13.62,32.26,57.46,46.78,17.13,25.77,76.42,32.36,45.5,37.62
27135,Minnesota,Roseau,9.5,9.05,8.6,33.3,13.8,5.98,35.98,"74,057",36.08,32.55,24.19,32.6,27.49,24.64,27.73,73.58,38.92,28.09,34.59
27137,Minnesota,St. Louis,11.5,9.15,9.2,36.7,16.9,6.52,42.67,"67,311",56.7,32.95,33.87,51.38,45.61,30.59,39.3,82.55,48.42,43.62,46.5
27139,Minnesota,Scott,6.2,4.27,8.4,33.6,14,5.22,30.83,"111,370",2.06,13.84,20.97,34.25,28.65,16.11,18.82,24.01,14.97,27.96,20.16
27141,Minnesota,Sherburne,7.2,3.87,8.6,37.7,14.9,5.56,31.6,"101,487",12.37,12.26,24.19,56.91,33.92,19.93,20.15,37.14,20.37,38.34,27.56
27143,Minnesota,Sibley,9.6,0.8,9.2,40.7,16.7,7.17,47.62,"76,019",37.11,0.23,33.87,73.48,44.44,37.8,47.87,70.98,38.8,50.6,43.52
27145,Minnesota,Stearns,10.2,7.35,9.6,38.4,15.4,6.07,46.5,"75,116",43.3,25.9,40.32,60.77,36.84,25.66,45.93,72.18,42.59,45.98,43.95
27147,Minnesota,Steele,8.8,5.12,8.8,36.9,12.5,5.77,46.77,"78,500",28.87,17.17,27.42,52.49,19.88,22.23,46.39,67.68,36.47,33.26,35.19
27149,Minnesota,Stevens,9.6,3.44,9.4,37.9,15.9,6.44,34.13,"74,512",37.11,10.58,37.1,58.01,39.77,29.7,24.53,72.98,34.98,44.96,38.97
27151,Minnesota,Swift,11.3,7.29,9.7,39.7,16,10.07,50.71,"69,245",54.64,25.68,41.94,67.96,40.35,70.14,53.2,79.98,56.73,50.08,54.07
27153,Minnesota,Todd,10.9,11.38,9.5,40.5,17.3,8.96,58.98,"60,951",50.52,41.71,38.71,72.38,47.95,57.74,67.52,91,61.7,53.01,58.22
27155,Minnesota,Traverse,9.8,3.71,9.2,38.3,16.1,7.24,54.4,"67,634",39.18,11.61,33.87,60.22,40.94,38.57,59.58,82.12,46.21,45.01,45.73
27157,Minnesota,Wabasha,8.9,2.15,8,33.1,13.2,5.3,36.39,"81,349",29.9,5.52,14.52,31.49,23.98,17.02,28.43,63.9,28.95,23.33,26.7
27159,Minnesota,Wadena,12,2.25,9.8,42.9,18.8,7.52,57.78,"55,449",61.86,5.91,43.55,85.64,56.73,41.75,65.44,98.31,54.65,61.97,57.58
27161,Minnesota,Waseca,8.8,12.69,8.7,41.2,15.9,6.3,43.68,"70,833",28.87,46.84,25.81,76.24,39.77,28.21,41.05,77.87,44.57,47.27,45.65
27163,Minnesota,Washington,6.5,6.11,7.1,30.9,9.1,4.61,27.98,"111,118",5.15,21.02,0,19.34,0,9.35,13.9,24.34,14.75,6.45,11.43
27165,Minnesota,Watonwan,10.9,1.1,10.3,39.3,17.3,11.46,63.56,"64,868",50.52,1.41,51.61,65.75,47.95,85.58,75.44,85.79,59.75,55.1,57.89
27167,Minnesota,Wilkin,11.1,5.68,9.3,41.1,17.7,4.65,46.11,"75,073",52.58,19.35,35.48,75.69,50.29,9.85,45.25,72.23,39.85,53.82,45.44
27169,Minnesota,Winona,9.9,3.02,8.9,34.8,16.4,6.3,42.76,"71,907",40.21,8.94,29.03,40.88,42.69,28.15,39.46,76.44,38.64,37.54,38.2
27171,Minnesota,Wright,6.8,2.91,8.5,37.2,14,4.95,26.35,"104,303",8.25,8.49,22.58,54.14,28.65,13.14,11.08,33.4,14.87,35.13,22.97
27173,Minnesota,Yellow Medicine,9.7,9.45,9.4,39.6,17.2,7.55,50.27,"69,009",38.14,34.13,37.1,67.4,47.37,42.06,52.45,80.29,49.42,50.62,49.9
